feature,importance
TA_AVG,535
Age_Group,376
Month_sin,343
Gender,289
Month_cos,263
HM_AVG,248
Day_sin,213
Day_cos,212
is_weekend,126
WS_AVG,103
RN_DAY,91
Region,1
