feature,importance
Month_sin,328
Day_sin,240
Day_cos,222
is_weekend,219
TA_AVG,204
Month_cos,202
Age_Group,157
RN_DAY,136
Gender,110
HM_AVG,80
WS_AVG,6
Region,0
