feature,importance
Month_sin,535
TA_AVG,437
Age_Group,408
Day_cos,259
is_weekend,244
Month_cos,235
HM_AVG,208
Gender,204
Day_sin,127
RN_DAY,108
WS_AVG,34
Region,1
