feature,importance
Month_sin,300
Age_Group,218
Day_cos,185
Day_sin,162
Month_cos,137
is_weekend,136
TA_AVG,119
Gender,76
RN_DAY,51
HM_AVG,14
Region,2
WS_AVG,0
