feature,importance
Month_sin,484
TA_AVG,400
Age_Group,352
Gender,347
Month_cos,295
is_weekend,290
Day_sin,207
HM_AVG,140
Day_cos,126
RN_DAY,126
WS_AVG,30
Region,3
