feature,importance
TA_AVG,190
Month_sin,111
Month_cos,94
Day_sin,83
HM_AVG,83
Age_Group,72
Day_cos,65
Gender,62
is_weekend,42
RN_DAY,38
WS_AVG,30
Region,0
