feature,importance
Month_sin,91
Day_sin,66
Age_Group,59
Day_cos,52
Month_cos,47
TA_AVG,35
is_weekend,28
RN_DAY,21
Gender,14
HM_AVG,4
WS_AVG,3
Region,0
