feature,importance
Month_sin,181
TA_AVG,140
Month_cos,120
Day_sin,114
Age_Group,94
Gender,87
is_weekend,78
Day_cos,74
HM_AVG,58
RN_DAY,47
WS_AVG,27
Region,0
