feature,importance
TA_AVG,316
Day_sin,302
Month_sin,229
Month_cos,194
Day_cos,176
Age_Group,162
Gender,118
HM_AVG,104
is_weekend,78
RN_DAY,75
WS_AVG,67
Region,9
