feature,importance
TA_AVG,244
Month_sin,234
Day_sin,145
Day_cos,143
HM_AVG,124
is_weekend,102
Age_Group,87
Month_cos,79
RN_DAY,63
Gender,53
WS_AVG,46
Region,0
