Date,GroupName,Gender,Age_Group,Search_Count
2021-01-03,안주/보양식,f,장년층,26.06372
2021-01-04,찌개/국/탕,m,청년층,20.03044
2021-01-04,찌개/국/탕,m,중년층,17.7134
2021-01-04,찌개/국/탕,m,장년층,17.82483
2021-01-04,찌개/국/탕,f,청년층,30.25789
2021-01-04,찌개/국/탕,f,중년층,34.02664
2021-01-04,찌개/국/탕,f,장년층,29.9228
2021-01-04,면요리,m,청년층,44.80786
2021-01-04,면요리,m,중년층,30.1873
2021-01-04,면요리,m,장년층,30.63063
2021-01-04,면요리,f,청년층,59.26861
2021-01-04,면요리,f,중년층,39.98137
2021-01-04,면요리,f,장년층,37.46736
2021-01-04,밥/죽/덮밥,m,청년층,76.48535
2021-01-04,밥/죽/덮밥,m,중년층,50.72886
2021-01-04,밥/죽/덮밥,m,장년층,64.0845
2021-01-04,밥/죽/덮밥,f,청년층,73.53448
2021-01-04,밥/죽/덮밥,f,중년층,68.57419
2021-01-04,밥/죽/덮밥,f,장년층,64.02671
2021-01-04,볶음/구이,m,청년층,77.82362
2021-01-04,볶음/구이,m,중년층,56.11687
2021-01-04,볶음/구이,m,장년층,45.92204
2021-01-04,볶음/구이,f,청년층,87.18987
2021-01-04,볶음/구이,f,중년층,68.43059
2021-01-04,볶음/구이,f,장년층,49.51252
2021-01-04,브런치/샐러드,m,청년층,68.08898
2021-01-04,브런치/샐러드,m,중년층,47.27378
2021-01-04,브런치/샐러드,m,장년층,15.42995
2021-01-04,브런치/샐러드,f,청년층,55.88336
2021-01-04,브런치/샐러드,f,중년층,35.87658
2021-01-04,브런치/샐러드,f,장년층,18.38006
2021-01-04,안주/보양식,m,청년층,15.94757
2021-01-04,안주/보양식,m,중년층,12.05969
2021-01-04,안주/보양식,m,장년층,11.05027
2021-01-04,안주/보양식,f,청년층,22.90743
2021-01-04,안주/보양식,f,중년층,19.79844
2021-01-04,안주/보양식,f,장년층,20.30651
2021-01-05,찌개/국/탕,m,청년층,21.6218
2021-01-05,찌개/국/탕,m,중년층,18.60326
2021-01-05,찌개/국/탕,m,장년층,18.23601
2021-01-05,찌개/국/탕,f,청년층,30.70253
